lead_time,cloud_error_pp,ghi_error_wm2
24,61.0,-44.3
48,61.0,-50.3
72,61.0,-26.299999999999997
24,85.0,-67.0
48,99.0,-128.0
72,99.0,-108.0
24,64.0,-42.19999999999999
48,64.0,-146.2
72,64.0,-77.19999999999999
24,43.0,-138.29999999999995
48,21.0,-39.299999999999955
72,43.0,-139.29999999999995
24,18.0,-23.700000000000045
48,19.0,-29.700000000000045
72,100.0,-171.70000000000005
24,14.0,-23.700000000000045
48,59.0,-30.700000000000045
72,97.0,-111.70000000000005
24,-54.0,-4.5
48,-15.0,-8.5
72,-58.0,-3.5
24,1.0,-5.0
48,3.0,-4.0
72,89.0,-160.0
24,1.0,-41.0
48,-3.0,-14.0
72,1.0,-38.0
24,1.0,-11.300000000000011
48,1.0,-18.30000000000001
72,1.0,-55.30000000000001
24,0.0,0.0
48,0.0,0.0
72,100.0,0.0
24,5.0,-17.299999999999997
48,5.0,-18.299999999999997
72,5.0,-18.299999999999997
24,5.0,-34.19999999999999
48,10.0,-36.19999999999999
72,82.0,-52.19999999999999
24,5.0,-33.69999999999999
48,100.0,-73.69999999999999
72,5.0,-33.69999999999999
24,6.0,-28.299999999999955
48,91.0,-70.29999999999995
72,11.0,-30.299999999999955
24,10.0,-33.5
48,7.0,-31.5
72,67.0,-38.5
24,4.0,-38.299999999999955
48,3.0,-41.299999999999955
72,93.0,-99.29999999999995
24,86.0,-100.29999999999995
48,2.0,-41.299999999999955
72,30.0,-41.299999999999955
24,4.0,-38.0
48,69.0,-82.0
72,93.0,-63.0
24,2.0,-0.30000000000001137
48,69.0,-25.30000000000001
72,92.0,-60.30000000000001
24,-38.0,24.5
