lead_time,cloud_cover_fcst,kt_fcst,ghi_fcst,ghi_clear_sky
24,5.0,1.0254147579326909,744.0,725.560066543178
48,100.0,0.8862119480520434,643.0,725.560066543178
72,100.0,0.864160017773921,627.0,725.560066543178
24,0.0,1.0754276994248204,768.0,714.1344791572279
48,100.0,1.0348191013996644,739.0,714.1344791572279
72,100.0,0.964804277218361,689.0,714.1344791572279
24,0.0,1.1285467055660827,718.0,636.2164688964724
48,5.0,1.1254031214280156,716.0,636.2164688964724
72,85.0,1.0326673893550367,657.0,636.2164688964724
24,0.0,1.2091290472291762,602.0,497.87903233284743
48,6.0,1.2051120072051589,600.0,497.87903233284743
72,100.0,1.1287882467488322,562.0,497.87903233284743
24,0.0,1.3852258220684015,431.0,311.14060475456364
48,0.0,1.37879786001704,429.0,311.14060475456364
72,8.0,1.365941935914317,425.0,311.14060475456364
24,0.0,1.5,224.0,101.29713140510017
48,0.0,1.5,223.0,101.29713140510017
72,53.0,1.5,220.0,101.29713140510017
24,0.0,0.4571304359612677,80.0,175.00475511277997
48,0.0,0.4571304359612677,80.0,175.00475511277997
72,0.0,0.46284456641078353,81.0,175.00475511277997
24,0.0,0.7113503077139092,272.0,382.37138165320505
