lead,month,daylight,site,n,p_cloud_eq_0,p_cloud_eq_100,p_cloud_between,p_cloud_outside_0_100,unique_values
D+3,2025-06,night,huai_an_1,270.0,0.08148148148148149,0.6925925925925925,0.22592592592592592,0.0,39.0
D+3,2025-06,night,huai_an_2,270.0,0.07407407407407407,0.674074074074074,0.2518518518518518,0.0,37.0
D+3,2025-06,night,huai_an_3,275.0,0.07272727272727272,0.6836363636363636,0.24363636363636362,0.0,43.0
D+3,2025-06,night,lianyungang_1,270.0,0.1111111111111111,0.6185185185185185,0.26666666666666666,0.003703703703703704,38.0
D+3,2025-06,night,lianyungang_2,270.0,0.08888888888888889,0.6259259259259259,0.2851851851851852,0.0,42.0
D+3,2025-06,night,nanjing_1,300.0,0.06666666666666667,0.7033333333333334,0.23,0.0,41.0
D+3,2025-06,night,nanjing_2,294.0,0.061224489795918366,0.7244897959183674,0.21428571428571427,0.0,41.0
D+3,2025-06,night,nantong_1,280.0,0.08214285714285714,0.7535714285714286,0.16428571428571428,0.0,29.0
D+3,2025-06,night,nantong_2,288.0,0.10416666666666667,0.7673611111111112,0.1284722222222222,0.0,27.0
D+3,2025-06,night,suqian_1,273.0,0.07326007326007326,0.6556776556776557,0.2673992673992674,0.003663003663003663,42.0
D+3,2025-06,night,suzhou_1,283.0,0.05653710247349823,0.773851590106007,0.16607773851590105,0.0035335689045936395,31.0
D+3,2025-06,night,taizhou_1,270.0,0.07037037037037037,0.7037037037037037,0.22592592592592592,0.0,35.0
D+3,2025-06,night,taizhou_2,272.0,0.05514705882352941,0.7316176470588235,0.21323529411764705,0.0,34.0
D+3,2025-06,night,wuxi_1,278.0,0.046762589928057555,0.7913669064748201,0.1618705035971223,0.0,35.0
D+3,2025-06,night,xuzhou_1,300.0,0.11666666666666667,0.65,0.23333333333333334,0.0,35.0
D+3,2025-06,night,xuzhou_2,284.0,0.10211267605633803,0.6936619718309859,0.20422535211267606,0.0,40.0
D+3,2025-06,night,yancheng_1,270.0,0.06296296296296296,0.7296296296296296,0.2074074074074074,0.0,34.0
D+3,2025-06,night,yancheng_2,270.0,0.07777777777777778,0.7111111111111111,0.2074074074074074,0.003703703703703704,32.0
D+3,2025-06,night,yancheng_3,270.0,0.07777777777777778,0.7037037037037037,0.21851851851851853,0.0,33.0
D+3,2025-07,day,changzhou_1,428.0,0.09345794392523364,0.4719626168224299,0.43457943925233644,0.0,85.0
D+3,2025-07,day,huai_an_1,437.0,0.20594965675057209,0.3890160183066362,0.40274599542334094,0.002288329519450801,70.0
D+3,2025-07,day,huai_an_2,441.0,0.2471655328798186,0.39909297052154197,0.35374149659863946,0.0,61.0
D+3,2025-07,day,huai_an_3,434.0,0.19815668202764977,0.3548387096774194,0.4447004608294931,0.002304147465437788,76.0
D+3,2025-07,day,lianyungang_1,439.0,0.2733485193621868,0.38496583143507973,0.3416856492027335,0.0,61.0
D+3,2025-07,day,lianyungang_2,445.0,0.30786516853932583,0.3101123595505618,0.38202247191011235,0.0,68.0
D+3,2025-07,day,nanjing_1,434.0,0.1497695852534562,0.4400921658986175,0.41013824884792627,0.0,79.0
D+3,2025-07,day,nanjing_2,433.0,0.09006928406466513,0.4503464203233256,0.45727482678983833,0.0023094688221709007,79.0
D+3,2025-07,day,nantong_1,431.0,0.12761020881670534,0.45707656612529,0.41531322505800466,0.0,70.0
D+3,2025-07,day,nantong_2,428.0,0.16355140186915887,0.4532710280373832,0.38317757009345793,0.0,64.0
D+3,2025-07,day,suqian_1,434.0,0.23963133640552994,0.3617511520737327,0.39631336405529954,0.002304147465437788,68.0
D+3,2025-07,day,suzhou_1,426.0,0.1056338028169014,0.4788732394366197,0.4154929577464789,0.0,63.0
D+3,2025-07,day,taizhou_1,436.0,0.20412844036697247,0.44495412844036697,0.35091743119266056,0.0,68.0
