outer_fold,inner_fold,group,repeat,score_rows,baseline_mean_pinball,mean_pinball,delta_vs_full
outer_5,inner_1,radiation,1,546,21.302092667115698,116.02076382441305,94.71867115729735
outer_5,inner_1,radiation,2,546,21.302092667115698,114.98968912197007,93.68759645485437
outer_5,inner_1,clear_sky_kt,0,546,21.302092667115698,26.78955325668264,5.487460589566943
outer_5,inner_1,clear_sky_kt,1,546,21.302092667115698,27.608496138896907,6.306403471781209
outer_5,inner_1,clear_sky_kt,2,546,21.302092667115698,26.495706362965596,5.193613695849898
outer_5,inner_1,cloud,0,546,21.302092667115698,21.86096664780277,0.5588739806870713
outer_5,inner_1,cloud,1,546,21.302092667115698,21.869988422065717,0.567895754950019
outer_5,inner_1,cloud,2,546,21.302092667115698,22.0523848216079,0.7502921544922039
outer_5,inner_1,meteorology,0,546,21.302092667115698,24.761580775671877,3.4594881085561795
outer_5,inner_1,meteorology,1,546,21.302092667115698,25.108753159571773,3.806660492456075
outer_5,inner_1,meteorology,2,546,21.302092667115698,25.036258627199796,3.7341659600840984
outer_5,inner_1,solar_geometry,0,546,21.302092667115698,22.820743346193638,1.5186506790779397
outer_5,inner_1,solar_geometry,1,546,21.302092667115698,22.57769442834372,1.275601761228021
outer_5,inner_1,solar_geometry,2,546,21.302092667115698,22.633951571218514,1.3318589041028162
outer_5,inner_1,temporal_dynamics,0,546,21.302092667115698,23.029840609320157,1.7277479422044593
outer_5,inner_1,temporal_dynamics,1,546,21.302092667115698,23.635431763764245,2.3333390966485474
outer_5,inner_1,temporal_dynamics,2,546,21.302092667115698,23.28566905084837,1.9835763837326716
outer_5,inner_2,radiation,0,546,24.985831143681523,102.74085096761745,77.75501982393592
outer_5,inner_2,radiation,1,546,24.985831143681523,91.33990186380224,66.35407072012072
outer_5,inner_2,radiation,2,546,24.985831143681523,94.57014213627915,69.58431099259762
outer_5,inner_2,clear_sky_kt,0,546,24.985831143681523,30.788276327790438,5.802445184108915
outer_5,inner_2,clear_sky_kt,1,546,24.985831143681523,30.19731360928735,5.211482465605826
outer_5,inner_2,clear_sky_kt,2,546,24.985831143681523,30.307151097554694,5.3213199538731715
outer_5,inner_2,cloud,0,546,24.985831143681523,25.695292987373552,0.7094618436920292
outer_5,inner_2,cloud,1,546,24.985831143681523,25.739867059404204,0.7540359157226817
outer_5,inner_2,cloud,2,546,24.985831143681523,25.66682584948895,0.6809947058074286
outer_5,inner_2,meteorology,0,546,24.985831143681523,28.25659232881257,3.2707611851310467
outer_5,inner_2,meteorology,1,546,24.985831143681523,29.721131913382347,4.7353007697008245
outer_5,inner_2,meteorology,2,546,24.985831143681523,29.02523241712003,4.039401273438507
outer_5,inner_2,solar_geometry,0,546,24.985831143681523,26.096625175993257,1.110794032311734
outer_5,inner_2,solar_geometry,1,546,24.985831143681523,26.16812156983087,1.182290426149347
outer_5,inner_2,solar_geometry,2,546,24.985831143681523,25.929963322324745,0.9441321786432226
outer_5,inner_2,temporal_dynamics,0,546,24.985831143681523,27.55126774769794,2.5654366040164156
outer_5,inner_2,temporal_dynamics,1,546,24.985831143681523,27.82068351333224,2.8348523696507186
outer_5,inner_2,temporal_dynamics,2,546,24.985831143681523,27.72875503410173,2.742923890420208
outer_5,inner_3,radiation,0,570,26.0905028191721,94.65808580641415,68.56758298724205
outer_5,inner_3,radiation,1,570,26.0905028191721,98.90076133312382,72.81025851395172
